Mehdi	Time			Temp	SetPoint						
PID_out	524	15,8	-3	129	150	100	10	100			
PID_out	525	15,9	-2	129	150	100	10	100			
PID_out	526	16	0	128	150	100	10	100			
PID_out	527	16,1	1	128	150	100	10	100			
PID_out	528	16,2	2	128	150	100	10	100			
PID_out	529	16,3	2	129	150	100	10	100			
PID_out	530	16,4	3	129	150	100	10	100			
PID_out	531	16,5	2	130	150	100	10	100			
PID_out	532	16,6	3	130	150	100	10	100			
PID_out	533	16,7	3	131	150	100	10	100			
PID_out	534	16,8	4	131	150	100	10	100			
PID_out	535	16,9	3	132	150	100	10	100			
PID_out	536	17	4	132	150	100	10	100			
PID_out	537	17,1	4	133	150	100	10	100			
PID_out	538	17,2	3	134	150	100	10	100			
PID_out	539	17,3	2	135	150	100	10	100			
PID_out	540	17,4	3	135	150	100	10	100			
PID_out	541	17,5	4	135	150	100	10	100			
PID_out	542	17,6	3	136	150	100	10	100			
PID_out	543	17,7	2	137	150	100	10	100			
PID_out	544	17,8	3	137	150	100	10	100			
PID_out	545	17,9	2	138	150	100	10	100			
PID_out	546	18	3	138	150	100	10	100			
PID_out	547	18,1	2	139	150	100	10	100			
PID_out	548	18,2	2	139	150	100	10	100			
PID_out	549	18,3	3	139	150	100	10	100			
PID_out	550	18,4	2	140	150	100	10	100			
PID_out	551	18,5	2	140	150	100	10	100			
PID_out	552	18,6	1	141	150	100	10	100			
PID_out	553	18,7	2	141	150	100	10	100			
PID_out	554	18,8	2	141	150	100	10	100			
PID_out	555	18,9	1	142	150	100	10	100			
PID_out	556	19	2	142	150	100	10	100			
PID_out	557	19,1	2	142	150	100	10	100			
PID_out	558	19,2	2	142	150	100	10	100			
PID_out	559	19,3	1	143	150	100	10	100			
PID_out	560	19,4	2	143	150	100	10	100			
PID_out	561	19,5	2	143	150	100	10	100			
PID_out	562	19,6	1	144	150	100	10	100			
PID_out	563	19,7	609	144	550	100	10	100			
PID_out	578	21,2	450	257	550	100	10	100			
PID_out	589	22,3	340	340	550	100	10	100			
PID_out	597	23,1	257	403	550	100	10	100			
PID_out	604	23,8	192	451	550	100	10	100			
PID_out	609	24,3	145	486	550	100	10	100			
PID_out	613	24,7	108	513	550	100	10	100			
PID_out	616	25	80	533	550	100	10	100			
PID_out	618	25,2	59	548	550	100	10	100			
PID_out	620	25,4	42	559	550	100	10	100			
PID_out	622	25,6	30	567	550	100	10	100			
PID_out	623	25,7	22	572	550	100	10	100			
PID_out	624	25,8	14	576	550	100	10	100			
PID_out	625	25,9	9	579	550	100	10	100			
PID_out	626	26	6	580	550	100	10	100			
PID_out	627	26,1	1	582	550	100	10	100			
PID_out	628	26,2	0	582	550	100	10	100			
PID_out	629	26,3	-1	582	550	100	10	100			
PID_out	630	26,4	-3	582	550	100	10	100			
PID_out	631	26,5	-3	581	550	100	10	100			
PID_out	632	26,6	-3	580	550	100	10	100			
PID_out	633	26,7	-4	580	550	100	10	100			
PID_out	634	26,8	-4	579	550	100	10	100			
PID_out	635	26,9	-4	578	550	100	10	100			
PID_out	636	27	-6	578	550	100	10	100			
PID_out	637	27,1	-5	577	550	100	10	100			
PID_out	638	27,2	-5	576	550	100	10	100			
PID_out	639	27,3	-5	575	550	100	10	100			
PID_out	640	27,4	-5	574	550	100	10	100			
PID_out	641	27,5	-5	573	550	100	10	100			
PID_out	642	27,6	-4	572	550	100	10	100			
PID_out	643	27,7	-4	571	550	100	10	100			
PID_out	644	27,8	-3	570	550	100	10	100			
PID_out	645	27,9	-4	570	550	100	10	100			
PID_out	646	28	-4	569	550	100	10	100			
PID_out	647	28,1	-3	568	550	100	10	100			
PID_out	648	28,2	-4	568	550	100	10	100			
PID_out	649	28,3	-4	567	550	100	10	100			
PID_out	650	28,4	-3	566	550	100	10	100			
PID_out	651	28,5	-4	566	550	100	10	100			
PID_out	652	28,6	-3	565	550	100	10	100			
